model_name	seed	aug_strategy	ratio	iteration	train_size	precision	recall	f1
FacebookAI/roberta-base	41	reverse_letter_case	0.3	1	1386	0.45980707395498394	0.5301204819277109	0.4924666379681447
FacebookAI/roberta-base	42	reverse_letter_case	0.3	1	1386	0.5283185840707965	0.5532900834105653	0.5405160706201901
FacebookAI/roberta-base	43	reverse_letter_case	0.3	1	1386	0.5238095238095238	0.5301204819277109	0.5269461077844312
FacebookAI/roberta-base	44	reverse_letter_case	0.3	1	1386	0.5223752151462995	0.5625579240037072	0.5417224453369032
FacebookAI/roberta-base	40	delete_character	0.3	1	1388	0.452724358974359	0.5236329935125116	0.4856037816931672
FacebookAI/roberta-base	41	delete_character	0.3	1	1388	0.48462783171521034	0.5551436515291936	0.5174946004319654
FacebookAI/roberta-base	42	delete_character	0.3	1	1388	0.5353535353535354	0.5403151065801668	0.5378228782287824
FacebookAI/roberta-base	43	delete_character	0.3	1	1388	0.5395614871306006	0.5245597775718258	0.5319548872180452
FacebookAI/roberta-base	44	delete_character	0.3	1	1388	0.530188679245283	0.5208526413345691	0.525479195885928
FacebookAI/roberta-base	40	swap_characters	0.3	1	1317	0.5014299332697807	0.48748841519925856	0.49436090225563906
FacebookAI/roberta-base	41	swap_characters	0.3	1	1317	0.5004516711833785	0.5134383688600556	0.5068618481244282
FacebookAI/roberta-base	42	swap_characters	0.3	1	1317	0.5358764759309719	0.5468025949953661	0.5412844036697249
FacebookAI/roberta-base	43	swap_characters	0.3	1	1317	0.5027829313543599	0.5023169601482854	0.5025498377375985
FacebookAI/roberta-base	44	swap_characters	0.3	1	1317	0.5481049562682215	0.5227062094531975	0.5351043643263758
FacebookAI/roberta-base	40	substitute_character	0.3	1	1377	0.5042174320524836	0.4986098239110287	0.5013979496738118
FacebookAI/roberta-base	41	substitute_character	0.3	1	1377	0.49148211243611584	0.5347544022242817	0.5122059476253883
FacebookAI/roberta-base	42	substitute_character	0.3	1	1377	0.5346715328467153	0.5430954587581094	0.5388505747126436
FacebookAI/roberta-base	43	substitute_character	0.3	1	1377	0.4774774774774775	0.5403151065801668	0.5069565217391304
FacebookAI/roberta-base	44	substitute_character	0.3	1	1377	0.5222929936305732	0.5319740500463392	0.5270890725436179
FacebookAI/roberta-base	40	all	0.3	1	2408	0.5212962962962963	0.5217794253938832	0.5215377489578508
FacebookAI/roberta-base	41	all	0.3	1	2408	0.52	0.5301204819277109	0.5250114731528225
FacebookAI/roberta-base	42	all	0.3	1	2408	0.5453686200378072	0.5347544022242817	0.5400093589143659
FacebookAI/roberta-base	43	all	0.3	1	2408	0.52007136485281	0.5403151065801668	0.53
FacebookAI/roberta-base	44	all	0.3	1	2408	0.5237659963436929	0.531047265987025	0.5273815002300967
